Year,Month,Borough,Category,Requests
2009,Jun,Rosemont–La Petite-Patrie,Security,17
2009,Jun,Rosemont–La Petite-Patrie,Selective Collection,229
2009,Jun,Rosemont–La Petite-Patrie,Sewers,68
2009,Jun,Rosemont–La Petite-Patrie,Signage,130
2009,Jun,Rosemont–La Petite-Patrie,Taxes,33
2009,Jun,Rosemont–La Petite-Patrie,Trees,231
2009,Jun,Rosemont–La Petite-Patrie,Water,109
2009,Jun,Saint-Laurent,Bulky Collection,10
2009,Jun,Saint-Laurent,Dogs,156
2009,Jun,Saint-Laurent,Environment,160
2009,Jun,Saint-Laurent,Garbage Collection,139
2009,Jun,Saint-Laurent,Lighting,53
2009,Jun,Saint-Laurent,Other,423
2009,Jun,Saint-Laurent,Parking,49
2009,Jun,Saint-Laurent,Parks,14
2009,Jun,Saint-Laurent,Permits,24
2009,Jun,Saint-Laurent,Roads,99
2009,Jun,Saint-Laurent,Security,91
2009,Jun,Saint-Laurent,Selective Collection,432
2009,Jun,Saint-Laurent,Sewers,24
2009,Jun,Saint-Laurent,Signage,30
2009,Jun,Saint-Laurent,Taxes,100
2009,Jun,Saint-Laurent,Trees,124
2009,Jun,Saint-Laurent,Water,76
2009,Jun,Saint-Léonard,Bulky Collection,1
2009,Jun,Saint-Léonard,Dogs,13
2009,Jun,Saint-Léonard,Environment,59
2009,Jun,Saint-Léonard,Garbage Collection,42
2009,Jun,Saint-Léonard,Lighting,22
2009,Jun,Saint-Léonard,Other,59
2009,Jun,Saint-Léonard,Parking,4
2009,Jun,Saint-Léonard,Parks,10
2009,Jun,Saint-Léonard,Permits,8
2009,Jun,Saint-Léonard,Roads,79
2009,Jun,Saint-Léonard,Security,3
2009,Jun,Saint-Léonard,Selective Collection,15
2009,Jun,Saint-Léonard,Sewers,44
2009,Jun,Saint-Léonard,Signage,10
2009,Jun,Saint-Léonard,Taxes,176
2009,Jun,Saint-Léonard,Trees,179
2009,Jun,Saint-Léonard,Water,40
2009,Jun,Verdun,Bulky Collection,11
2009,Jun,Verdun,Dogs,14
2009,Jun,Verdun,Environment,33
2009,Jun,Verdun,Garbage Collection,110
2009,Jun,Verdun,Lighting,24
2009,Jun,Verdun,Other,25
2009,Jun,Verdun,Parking,2
2009,Jun,Verdun,Parks,2
2009,Jun,Verdun,Permits,80
2009,Jun,Verdun,Roads,55
2009,Jun,Verdun,Security,1
2009,Jun,Verdun,Selective Collection,40
2009,Jun,Verdun,Sewers,6
2009,Jun,Verdun,Signage,22
2009,Jun,Verdun,Taxes,15
2009,Jun,Verdun,Trees,68
2009,Jun,Verdun,Water,27
2009,Jun,Ville-Marie,Bulky Collection,86
2009,Jun,Ville-Marie,Dogs,128
2009,Jun,Ville-Marie,Environment,70
2009,Jun,Ville-Marie,Garbage Collection,207
2009,Jun,Ville-Marie,Lighting,50
2009,Jun,Ville-Marie,Other,80
2009,Jun,Ville-Marie,Parking,396
2009,Jun,Ville-Marie,Parks,52
2009,Jun,Ville-Marie,Permits,95
2009,Jun,Ville-Marie,Roads,254
2009,Jun,Ville-Marie,Security,29
2009,Jun,Ville-Marie,Selective Collection,67
